PitcherId,PitcherTeam,PitcherHand,OutsRecorded,InningsPitched,1B,2B,3B,HR,Strikeouts,Walks,TotalBattersFaced,BAA,WHIP,TotalPitches,Strikes,StrikePercentage,FF,FF_K%,SI,SI_K%,FC,FC_K%,CU,CU_K%,CH,CH_K%,SL,SL_K%,KC,KC_K%
7,1,R,17,5.67,2,1,1,0,5,2,26,0.154,1.058,71,34,0.479,18,50.0,19,52.6,10,40.0,13,53.8,0,0,9,44.4,0,0
1,2,R,21,7.0,1,1,0,0,7,2,25,0.08,0.571,93,54,0.581,44,52.3,0,0,10,60.0,12,66.7,11,54.5,16,68.8,0,0
15,1,R,3,1.0,0,0,0,0,2,0,3,0.0,0.0,17,8,0.471,10,30.0,0,0,0,0,0,0,5,100.0,2,0.0,0,0
9,1,R,3,1.0,1,0,0,0,3,0,4,0.25,1.0,22,12,0.545,9,44.4,0,0,0,0,0,0,0,0,13,61.5,0,0
6,2,R,3,1.0,0,0,0,0,0,0,3,0.0,0.0,9,7,0.778,1,0.0,3,66.7,0,0,0,0,1,100.0,0,0,4,100.0
10,1,L,3,1.0,2,0,0,0,0,1,6,0.333,3.0,17,8,0.471,8,37.5,0,0,0,0,0,0,0,0,9,55.6,0,0
17,2,L,2,0.67,1,0,0,0,0,1,5,0.2,2.985,14,7,0.5,9,44.4,0,0,0,0,0,0,0,0,5,60.0,0,0
3,2,R,1,0.33,0,0,0,0,1,0,1,0.0,0.0,6,2,0.333,0,0,0,0,3,33.3,0,0,0,0,3,33.3,0,0
