PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
339,L,FF,93.2852489,-0.563880682,1.094240069,2.573974371,5.923106194
362,L,FC,88.31831344,0.047213275,0.70248723,2.656671524,5.888731003
37,L,FC,89.26682086,0.177364185,0.700144351,2.652508497,5.856953621
138,L,CH,85.26800956,-1.167557716,0.069049776,2.640300512,5.854811668
344,L,FC,88.42788592,0.213480115,0.69302094,2.597742319,5.759338856
550,L,FC,89.98391409,-0.012303297,0.764622152,2.624002695,5.703721523
596,L,CH,86.30081231,-1.13660872,0.267826408,2.641659021,5.73369503
258,L,FF,94.5317006,-0.512689829,0.792965472,2.669194221,5.712930202
250,L,FF,92.04568526,-0.855795622,0.556794643,2.443377018,5.767518044
97,L,nan,nan,nan,nan,nan,nan
383,L,CH,87.31807444,-1.013836026,0.419258475,2.754371881,5.833457947
400,L,nan,nan,nan,nan,nan,nan
478,L,FF,90.97796729,-0.723042011,0.801654398,2.503507614,5.780694962
248,L,CH,83.40278405,-1.117616773,0.435678691,2.606164455,5.793663979
