PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
496,R,FF,98.99405738,0.806885958,0.657053053,-2.205734015,5.970852375
453,R,FF,99.02834811,0.57730478,0.694082677,-2.445923805,5.645152569
293,R,SL,86.65594118,-0.817568123,0.299694747,-2.331311464,5.844820499
417,R,SL,89.64440783,-0.659671426,-0.068652198,-2.272261381,5.8038764
415,R,SL,88.68997818,-0.939846396,0.006246378,-2.187351942,5.821678162
457,R,SI,97.84346499,0.90019244,0.354727626,-2.565315723,5.218137264
49,R,CH,91.91014841,1.149729013,-0.1149166,-2.705859423,5.284179688
588,R,CH,90.03831944,0.99038887,-0.298910171,-2.744518042,5.258740902
140,R,SL,90.66870097,-0.499296993,0.286324203,-2.539755106,5.502684116
95,R,CH,90.27020282,1.157999754,-0.057650059,-2.571460962,5.365026951
