PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
405,R,FF,95.20419982,0.307889223,1.109589696,-2.834688187,5.357886791
54,R,FF,95.55913521,-0.114750206,1.167261124,-2.678563118,5.467558384
586,R,FF,94.49036987,-0.077783465,1.241335392,-2.573085785,5.507624626
199,R,FF,95.28895364,0.083753712,1.259003878,-2.7674582,5.454737663
380,R,FF,95.87507575,0.124274231,1.268904686,-2.666256428,5.400175095
92,R,FF,93.79760763,-0.005435462,1.172824144,-2.599075079,5.411291599
530,R,SL,85.62984547,-0.540035188,-0.292778224,-2.782209873,5.326839447
93,R,SL,85.88969089,-0.448303938,0.072403565,-2.746126652,5.301823616
585,R,FF,94.83730845,0.234173894,1.156421542,-2.62549305,5.385236263
398,R,FF,94.84027238,0.03481321,1.150520921,-2.588320732,5.444124699
173,R,SL,88.17152758,-0.53320384,0.011064088,-2.710260153,5.334569454
82,R,FF,95.34274503,0.005845157,0.980722785,-2.699546814,5.427618027
545,R,SL,87.53401806,-0.502233088,-0.002236819,-2.810874701,5.44154501
474,R,SL,85.77853551,-0.415992588,0.199144632,-2.813300371,5.217148304
273,R,SL,86.59418028,-0.711580276,-0.118549436,-2.955672264,5.267093658
