PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
561,L,SL,79.69030792,0.855368912,-0.291956097,1.469016075,5.725244522
43,L,FF,94.11691065,0.097433455,0.851297617,1.377964854,5.7991786
614,L,FF,92.17996786,0.08520481,0.959870338,1.394289136,5.732076168
240,L,FF,95.72113239,0.20957081,1.213767409,1.460345149,5.700195313
30,L,SL,83.27966831,-0.590938687,0.548452258,1.39376986,5.6753335
564,L,FF,92.69396155,0.454984128,0.979837477,1.323554158,5.732829571
406,L,FF,95.35486352,-0.024478285,1.030359268,1.349726796,5.80548811
69,L,FF,92.96105331,-0.065637022,0.81126368,1.580053449,5.604017258
114,L,FF,92.03881632,0.271910429,0.771127582,1.406509399,5.734079361
243,L,FF,94.12328952,-0.021336302,0.931580126,1.290412307,5.715333939
605,L,FF,92.31314612,-0.082454935,0.945336401,1.450832963,5.663472176
337,L,FF,91.14608519,0.056363616,1.125986695,1.399525166,5.660574913
252,L,FF,91.83516078,0.135857701,1.052342772,1.292166352,5.613990784
429,L,nan,nan,nan,nan,nan,nan
74,L,nan,nan,nan,nan,nan,nan
509,L,FF,92.97687335,0.20513171,1.012866259,1.318512559,5.682508945
