PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
454,L,FC,88.54814274,0.287645787,0.317728579,2.721324682,5.989300251
109,L,FC,89.07394643,0.306514889,0.490686148,2.952127457,5.676801205
353,L,SL,82.28335174,0.8836447,-0.36649403,3.028468132,5.451675415
129,L,FC,90.15502309,0.163612425,0.580213904,2.835686684,5.734292984
552,L,SI,91.85292046,-1.25944972,0.307027876,2.682567596,5.657745838
84,L,SI,94.15746421,-1.175308824,0.616983175,2.71897316,5.588638783
527,L,SL,82.32380466,0.504172683,0.454167992,2.838639259,5.515713215
555,L,SI,94.78293719,-0.89801985,0.57700038,2.822671175,5.604729176
388,L,SL,82.26811225,0.805769801,0.157819599,2.892551899,5.527256489
487,L,SI,94.49671117,-0.965389431,0.450965494,2.920756578,5.520333767
274,L,SL,82.58105377,1.145206928,-0.026275774,2.931633472,5.400490761
