PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
231,L,CH,84.68494254,-0.760605276,0.33003059,1.829443336,5.769825935
384,L,CU,79.19788725,0.403275371,-0.727823675,1.922386885,5.559574127
616,L,SL,87.41969296,0.027675791,0.512405455,2.027966976,5.56433773
503,L,SI,93.1132495,-1.167477727,0.508681238,2.047451735,5.537269115
322,L,CU,82.37546932,0.082146749,-0.514564455,1.974078655,5.549425602
502,L,SI,91.76295957,-1.128146291,0.500264704,2.032321692,5.493454933
606,L,CH,86.65874035,-0.876275957,0.618757069,1.910468459,5.752475262
579,L,CH,85.79095865,-1.026319385,0.438414037,1.99083209,5.736110687
536,L,nan,nan,nan,nan,nan,nan
598,L,SL,87.38530809,-0.078006715,0.589214206,2.432912827,5.402801037
1,L,CH,85.54019005,-0.962393999,0.510051727,2.033803463,5.564623833
521,L,SI,92.66592939,-1.00497365,0.733972669,2.093907356,5.541680813
358,L,FF,92.08944273,-0.83555913,0.919017911,1.851200104,5.711686611
512,L,FF,93.05775075,-0.747732639,1.013377309,1.798324227,5.851401806
238,L,CU,81.40592193,0.282134026,-0.542483509,1.922446251,5.482771873
18,L,FF,93.79334152,-0.712177098,0.902980864,1.732959032,5.678795815
174,L,CU,82.21663704,0.285375655,-0.653617501,2.01353693,5.42370224
125,L,CU,83.48548548,0.576524973,-0.593431592,1.899147272,5.376909256
263,L,SL,89.48593137,0.102673352,0.277260959,1.772864938,5.747517109
222,L,FF,95.41697757,-0.503002763,1.025216341,1.662346005,5.803208828
323,L,SI,92.12782605,-1.032778025,0.353455633,2.121664286,5.495467663
105,L,CU,80.54668786,0.110777654,-0.638004839,2.053318977,5.536063194
102,L,SL,90.79965311,0.076433249,0.440527081,2.068636179,5.518407345
295,L,SI,92.84667889,-0.840332866,0.288298935,2.071068287,5.410055161
543,L,CU,80.24233103,-0.036731493,-0.500612855,1.776451349,5.639999866
525,L,SI,92.49505871,-1.218186736,0.450730145,2.22055769,5.532350063
407,L,CH,85.79579177,-1.052803755,0.214733943,2.10551405,5.506918907
171,L,CH,87.33456803,-1.132453799,0.371460497,2.002508402,5.66775465
12,L,FF,92.74131011,-0.653392971,1.16105938,1.653214097,5.872692585
413,L,CU,81.04898185,0.192462057,-0.614500761,1.799600005,5.479293823
101,L,SI,93.02635323,-0.998234332,0.590302706,2.022913218,5.466488838
168,L,nan,nan,nan,nan,nan,nan
10,L,SL,89.16034298,0.265215844,0.568484783,1.892630696,5.680290222
418,L,SL,89.0861328,-0.219794571,0.685415089,1.546759844,5.848809242
271,L,SI,92.13368105,-1.032723784,0.444137722,2.088257313,5.41173172
390,L,FF,92.85734072,-0.860629678,0.960466683,1.900277376,5.583349228
187,L,FF,92.69359047,-0.547296524,0.973268867,1.89075768,5.613582134
148,L,FF,94.50261271,-0.554603159,0.998614132,1.776097894,5.63475132
540,L,CU,82.1932874,0.437834203,-0.670786083,1.757187843,5.639889717
360,L,CU,82.45508524,0.508868575,-0.648651421,1.792604685,5.561857224
132,L,CU,81.62117388,0.265350163,-0.739960611,1.798107862,5.524578571
86,L,FF,94.24746865,-0.404379785,1.022742391,1.675982952,5.875305653
91,L,FF,93.17044896,-0.609670937,0.921285927,1.788710237,5.64283371
257,L,CU,83.35790563,0.3221699,-0.555167139,1.816480875,5.48489809
601,L,CU,82.6872877,0.399423271,-0.562829435,1.950677752,5.488957405
211,L,CU,82.23091344,0.365877926,-0.76997745,1.877223372,5.593956947
514,L,SL,89.89929866,0.228135198,0.500794649,2.212046385,5.407345295
50,L,FF,93.59021966,-0.634130538,0.620848238,1.855452895,5.404361725
90,L,CU,81.32776685,0.337484598,-0.85042268,1.950075865,5.655937672
488,L,CH,84.8988224,-0.980742097,0.407444179,1.940403581,5.627785206
544,L,FF,92.33781587,-0.609489858,1.195886135,1.571392417,6.014330864
184,L,CH,87.92109119,-1.083147764,0.20524238,1.981009126,5.521760941
103,L,SI,93.70127824,-1.097965837,0.195443258,1.813243628,5.41947937
17,L,CU,82.07117692,0.412784606,-0.81043601,2.063213587,5.46263361
532,L,SI,93.25348827,-0.895438015,0.459079057,1.976697803,5.429373264
421,L,SI,93.5086183,-0.899828255,0.276791096,2.088489056,5.378887177
262,L,CU,81.33685217,0.264721483,-0.770067215,1.846752167,5.495039463
205,L,CH,85.69089536,-0.919851363,0.482318878,1.876576781,5.645601273
60,L,FF,94.71657551,-0.44703421,1.062862039,1.684859395,5.628665447
611,L,CU,82.81036373,0.109640248,-0.49786061,1.725668788,5.462469578
120,L,CU,82.15715098,0.278522402,-0.872469246,1.836665034,5.459418774
176,L,SL,89.57669493,0.220997795,0.374849916,2.142691851,5.328614712
419,L,FF,90.36842949,-0.540552974,1.107079864,1.669590235,5.799320221
359,L,CH,84.13818494,-0.843377233,0.462400168,1.978626847,5.627348423
554,L,CU,83.19890482,0.192475349,-0.481308103,1.854056716,5.478557587
164,L,SI,95.48069476,-0.847878575,0.850638926,1.577502131,5.938218117
467,L,CU,81.78089494,0.254740536,-0.713871777,1.905273199,5.667199135
473,L,SL,86.0173851,0.146280035,0.425848097,2.312833071,5.351751328
584,L,CU,83.55429814,0.160880089,-0.394339949,1.806574464,5.370658875
235,L,CU,81.67609493,0.361739814,-0.489073575,2.012849569,5.54040432
144,L,SI,90.6526411,-0.967874765,0.275853574,1.966009974,5.355617523
214,L,CU,86.23505874,0.291181445,-0.358112991,1.747278094,5.484621048
143,L,FF,92.74531413,-0.47639513,1.073698282,1.694237947,5.698334217
483,L,FF,93.17170211,-0.690373719,0.925908804,1.872632742,5.508683681
481,L,FF,92.73913032,-0.625204384,0.915203393,1.85755837,5.448450565
367,L,CU,83.96165764,0.414535731,-0.832527637,1.921349287,5.416640759
567,L,CU,81.95896459,0.411371768,-0.589106798,1.809471011,5.586018562
348,L,FF,92.77388983,-0.722171009,0.962059915,1.567229152,5.763225079
565,L,FF,94.38936682,-0.798216403,0.973811209,1.603712797,5.883396626
439,L,CU,81.33734823,0.507689238,-0.697748661,1.830785751,5.394644737
333,L,SI,94.55200949,-1.056633592,0.282008946,1.807704926,5.280762672
393,L,SI,91.72161555,-1.020980477,0.272328049,2.022011757,5.448831081
495,L,SI,92.23980162,-1.084123373,0.273795754,1.957247615,5.358201504
475,L,SI,93.01489672,-1.021178365,0.274826556,1.967386127,5.299712658
402,L,SL,84.27951561,0.119281746,0.624751091,2.251162291,5.478783607
365,L,CH,88.63631138,-0.919261992,0.680158973,1.874478936,5.439299583
319,L,FF,95.76242686,-0.448030472,1.054459214,1.536445737,5.850623608
146,L,SI,93.28228961,-1.132493019,0.408614814,1.95399487,5.375338078
450,L,SI,94.48282571,-1.159675956,0.306329638,2.044962168,5.264988422
335,L,SI,93.91852824,-1.119082212,0.351273745,2.001719475,5.313992023
20,L,CU,84.26048978,0.276545286,-0.612908185,1.947230935,5.297963142
135,L,SL,88.70981712,-0.013335727,0.53240639,2.260911942,5.427876949
440,L,CU,81.19126661,0.440777272,-0.535097957,1.841486454,5.479156494
318,L,FF,94.34832928,-0.79982543,0.961459696,1.635088086,5.554402828
169,L,FF,94.2822548,-0.581538498,1.105297804,1.533722281,5.719679832
501,L,CU,84.59423867,0.355271161,-0.710017383,1.889881611,5.330292702
215,L,FF,93.4048557,-0.708658934,0.888432324,1.727944016,5.277530193
299,L,SI,93.66535167,-1.213014722,0.483169556,1.88088119,5.338590622
81,L,SI,93.44907337,-1.041885853,0.179515541,1.951127648,5.236914635
