PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
9,L,FF,94.02192739,-0.399507076,1.496936083,1.330932975,5.972201347
79,L,FF,93.65610532,-0.390108615,1.740443826,1.156500101,5.892576694
560,L,SL,85.84038294,0.56445384,0.489846587,1.117423058,6.072313786
137,L,FF,95.04167283,-0.617754221,1.522678614,1.139892697,5.928785801
142,L,SL,87.58351378,0.398673236,0.394741893,1.063553691,5.998064518
290,L,SL,88.53019729,0.599854589,0.598613322,0.990603447,6.063723564
127,L,FF,92.91810148,-0.484888494,1.542997003,1.181348681,5.831516743
346,L,FF,95.90888721,-0.407042533,1.609368324,1.194651723,5.924068451
153,L,FF,94.61245435,-0.39143014,1.439750671,1.183211803,5.875066757
466,L,FF,96.7058303,-0.514174938,1.63881743,1.221749783,5.903576374
314,L,SL,85.53982974,0.66647017,0.414392322,1.192597389,6.03047657
411,L,FF,95.56333089,-0.4842709,1.450538635,1.130062103,5.902118206
163,L,FF,94.27386668,-0.637106895,1.522541761,1.193379045,5.897223473
283,L,FF,94.18410923,-0.411180824,1.63180244,1.170361042,5.863603115
166,L,SL,86.87481753,0.57613641,0.309893787,1.115398049,6.003583908
