PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
259,R,FF,96.61103982,0.996719599,1.012993693,-1.731230259,5.578164101
151,R,SI,98.02102515,1.23431468,0.977358401,-1.567189097,5.700659275
313,R,SI,96.95622193,1.207351208,0.953934073,-1.573342323,5.609357357
15,R,KC,89.09822498,-0.509270251,-0.895270348,-1.732522607,5.780527592
182,R,KC,88.27540706,-0.477670789,-0.912442148,-1.694842339,5.758012295
239,R,KC,88.02790429,-0.530869007,-1.002889752,-1.648973465,5.819487095
279,R,CH,88.51817944,1.444621086,0.538250506,-1.751137376,5.604259968
13,R,SI,98.53989533,1.161277056,1.091428638,-1.614833593,5.47905159
382,R,KC,90.33543841,-0.569975138,-1.015807152,-1.77553165,5.779286861
