PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
461,R,FF,98.38415284,0.826810479,0.865530431,-3.330972195,6.117323399
126,R,SI,99.38912175,1.213743925,0.303112864,-3.108078718,6.317629814
131,R,SI,99.22858452,1.230068922,0.471743673,-3.131792068,6.20021534
45,R,SI,98.024553,1.25341785,0.138345569,-3.060466051,6.273049355
154,R,FC,95.32519294,-0.198927745,0.756772757,-3.155388355,6.271074772
55,R,nan,nan,nan,nan,nan,nan
268,R,SI,97.88292229,1.032052398,0.393691778,-3.027630806,6.184634209
249,R,nan,nan,nan,nan,nan,nan
513,R,SL,87.02068694,-1.301784158,-0.220224649,-3.184881926,6.293241024
612,R,SI,97.60056071,1.04301095,0.198151767,-3.184086323,6.204502106
