PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
150,R,FC,93.90797453,-0.143998027,1.438196659,-1.806473613,6.486080647
110,R,FC,94.92293474,-0.625336587,1.421851993,-1.706307769,6.432499409
266,R,nan,nan,nan,nan,nan,nan
569,R,FC,92.00393181,-0.140711591,1.35767591,-1.650661111,6.511428833
499,R,FC,93.36555962,-0.054745,1.536205053,-1.674142718,6.405021667
300,R,FC,93.4827306,-0.312653869,1.278306842,-1.43297565,6.350430489
361,R,SI,93.73689308,0.033407226,1.182667971,-1.653146029,6.318997383
446,R,SL,82.98854746,-0.354441971,-0.505663931,-1.651196599,6.316046715
592,R,FC,94.32988385,-0.52467227,1.083332539,-1.530654192,6.480201721
113,R,nan,nan,nan,nan,nan,nan
332,R,nan,nan,nan,nan,nan,nan
76,R,FC,92.63047392,-0.301731348,1.109039903,-1.806890488,6.339505672
216,R,FC,94.65070923,-0.024812231,1.292690635,-1.511467218,6.367922783
589,R,FC,95.70600133,-0.776827335,1.00211823,-1.591422319,6.44927454
508,R,FC,97.59722663,-0.788752139,1.058961034,-1.575837731,6.512567043
198,R,FC,94.47701557,-0.828650951,0.95136857,-1.547421336,6.483637333
29,R,FC,95.7515639,-0.452252746,0.967241347,-1.693882465,6.435989857
286,R,SL,84.56053324,-0.131632507,-0.637984812,-1.477679968,6.298481941
