PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
371,R,FF,96.18132396,0.803663969,1.333381653,-3.223663807,5.998868942
370,R,FF,95.7096403,0.708851993,1.204452991,-3.086059093,5.924386978
342,R,FF,95.88296606,0.935727,1.318690062,-3.218782425,5.762337208
5,R,FF,94.48936046,0.746779799,1.41055429,-3.3201015,5.716268539
444,R,FF,95.09744946,0.881990969,1.268882513,-3.205235243,5.842216492
213,R,FF,95.3801604,0.811280429,1.374396801,-3.317728996,5.734277725
607,R,CU,76.55194568,-1.278392315,-0.945817053,-3.263280869,5.95746994
46,R,FF,97.23732555,0.905997276,1.309093475,-3.317455769,5.659397125
491,R,FC,90.98249249,-0.307921976,0.978268802,-3.281049252,5.714941025
470,R,FF,97.69268243,1.002751827,1.193280697,-3.266873837,5.576042652
412,R,SL,88.96505476,-0.266297787,0.368811339,-3.218639135,5.706684113
325,R,FF,85.91422167,1.304060936,0.361139804,-3.313622713,5.56275177
229,R,SL,88.05692954,-0.364535153,0.724618733,-3.235291243,5.672793865
83,R,SL,88.09793729,-0.152984008,0.507710993,-3.2318151,5.643212318
234,R,CU,78.02103216,-1.08989656,-0.712520003,-3.256956577,5.720247746
253,R,FF,95.07111801,0.900281787,1.443293571,-3.136843681,5.948509693
124,R,FF,95.17500391,0.974312901,1.342291832,-3.316453695,5.72274971
128,R,FF,95.05801565,0.920148432,1.448146582,-3.217387915,5.812950134
292,R,CH,85.44700896,1.312522531,0.241459563,-3.328554153,5.540902615
549,R,FC,91.3599797,-0.128773749,0.657030344,-3.095993757,5.747856617
260,R,CH,87.11660358,1.293100238,0.677610934,-3.195704937,5.573169708
111,R,FF,95.27328021,1.032950044,1.301472783,-3.281382084,5.623299599
447,R,FF,96.08656529,0.958513677,1.225406289,-3.216999054,5.687032223
582,R,FF,85.52263583,1.385823965,0.162705973,-3.279460192,5.536261082
162,R,FC,93.44562348,0.308910012,0.611124337,-3.398551226,5.358104706
66,R,FF,98.43191749,0.848492563,1.360473394,-3.230049133,5.661689758
324,R,CU,77.45166497,-0.806190789,-0.678026199,-3.342617273,5.553745747
489,R,SL,87.77600249,-0.42105785,0.620858729,-3.284637213,5.752842903
272,R,SL,87.84586437,-0.288955629,0.516882956,-3.42462182,5.473134518
375,R,FC,93.59500492,0.559519827,0.680725098,-3.479491711,5.374856949
156,R,FC,92.62651158,0.291010767,0.738634884,-3.400079727,5.311064243
497,R,CU,78.35479984,-1.336446524,-0.702636242,-3.242887497,5.578753948
387,R,SL,88.31184549,-0.318168849,0.370064348,-3.388338804,5.49723959
573,R,FF,92.65578319,1.104313016,1.269366384,-3.25043726,5.737586498
558,R,SL,86.81635501,-0.072483309,0.526364028,-3.431886911,5.532892227
345,R,FF,96.86075594,0.786192417,1.315242052,-3.148688316,5.774745941
196,R,FF,96.62087674,0.836508691,1.446629763,-3.201951504,5.776088715
356,R,SL,86.28973065,-0.448622525,0.238162637,-3.269288301,5.412063599
244,R,CU,75.95752008,-1.012841702,-0.732356668,-3.094116926,5.87142086
366,R,FF,95.79330098,0.958764791,1.259070158,-3.146683693,5.741578102
189,R,CH,85.28352576,1.300828338,0.202073723,-3.250697374,5.490853786
297,R,CH,86.40475026,1.281375527,0.375183761,-3.338309765,5.565235615
209,R,SL,88.35374927,-0.402828097,0.274649501,-3.359098196,5.452140331
224,R,FC,93.41675805,0.183991581,0.881832659,-3.225057364,5.66045332
511,R,CU,77.50308291,-0.917069852,-0.679305792,-3.205527544,5.757203579
289,R,SL,88.32972266,0.026795,0.402658284,-3.280824661,5.677871227
426,R,SL,88.04074471,-0.054260466,0.420755088,-3.416432858,5.489341736
364,R,FF,96.01838413,0.885764062,1.183255911,-3.375815153,5.423910141
44,R,FF,92.77600526,0.822533429,1.219046712,-3.298993111,5.752482891
155,R,FF,95.54739732,0.999322534,1.16740942,-3.240222692,5.765264034
62,R,FC,91.25231137,0.177376136,0.915428102,-3.404628992,5.515859127
414,R,FF,91.50925435,1.077320099,1.211975217,-3.299317837,5.650763988
428,R,FF,95.20304799,0.930750728,1.181351304,-3.423676491,5.580451965
553,R,SL,85.96595402,-0.169801146,0.557336986,-3.378150463,5.431789398
355,R,FF,94.29744451,0.903518736,1.15631032,-3.270694494,5.509027958
22,R,SL,88.28908168,-0.270374268,0.302645862,-3.439244509,5.432040691
275,R,FF,94.12879076,1.012098193,1.145150065,-3.30187273,5.503864288
424,R,FF,84.65965734,1.05918026,0.219768614,-3.32216239,5.503653526
4,R,FF,96.85649626,0.705857217,1.284174442,-3.315526009,5.471270084
287,R,FF,93.93094615,0.797304153,1.51247251,-3.158506155,5.68108654
225,R,FF,96.34042464,0.886407495,1.3258425,-3.155045033,5.739543915
442,R,FF,96.08986209,0.856333852,1.329130292,-3.258455753,5.59608984
455,R,FF,95.69849151,1.106506944,1.385631204,-3.194579601,5.773105145
572,R,CH,86.27683299,1.339433312,0.369453341,-3.373843431,5.330421925
71,R,FC,91.60306009,-0.030057751,0.783974707,-3.249101162,5.649253368
329,R,FF,93.25870793,1.124028325,1.223180056,-3.128289223,5.823962688
436,R,SL,85.26685218,-0.301697433,0.414568841,-3.247884989,5.743176937
459,R,FF,92.24965142,1.004925251,1.276057363,-3.090580463,5.757758141
108,R,SL,87.05282799,-0.297018379,0.509840429,-3.410701036,5.487228394
42,R,FF,96.57685244,1.261173964,1.162019849,-3.315673113,5.543035507
57,R,CU,78.2901844,-1.29483664,-0.745108783,-3.129705191,5.682424068
528,R,SL,86.5928691,-0.127547905,0.4621059,-3.235963345,5.711159229
486,R,FF,94.15964368,1.368095398,1.232544661,-3.212810993,5.731260777
63,R,FF,96.38559302,1.094075561,1.24177742,-3.061717987,5.607283592
559,R,CU,79.03105753,-1.02168119,-0.677266419,-3.160126686,5.652376175
35,R,FF,96.63256122,0.833558321,1.294807196,-3.377737522,5.252328396
219,R,FF,96.45867298,0.90677613,1.230453134,-3.299446344,5.298755169
425,R,CU,75.27797507,-1.159833789,-0.960811615,-3.241993189,5.7749753
570,R,FC,91.85081177,0.185832694,0.844366193,-3.435787201,5.523391247
26,R,CH,84.53575444,1.197537661,0.385767549,-3.323479414,5.524207592
56,R,FF,87.2965249,1.270786881,0.410586119,-3.307739735,5.478185177
484,R,FF,96.87357408,1.047577024,1.221825957,-3.248694658,5.660748005
285,R,CH,86.58012131,1.298380613,0.069644064,-3.210734129,5.512607098
330,R,CU,76.77930663,-1.170359969,-0.751474857,-3.26410985,5.686540127
53,R,FF,94.24913522,0.844592631,1.23815608,-3.276379585,5.679137707
87,R,CH,88.78734972,1.442883492,0.499315619,-3.272341013,5.533920288
117,R,CH,85.96577707,1.317707896,0.286012948,-3.316489697,5.513597488
602,R,FF,95.27748592,0.959408522,1.343860269,-3.305440903,5.628046989
179,R,CU,78.21580529,-1.014265299,-0.721311033,-3.281191826,5.534549713
233,R,CH,86.24386355,1.401328444,0.379964083,-3.271091938,5.467465878
395,R,FC,90.64014891,-0.059316423,0.761844099,-3.301629305,5.47320652
210,R,FF,96.85357206,0.927197158,2.480372787,-3.326688528,5.41705513
619,R,SL,86.25931028,-0.561928451,0.676346362,-3.298841715,5.57111454
270,R,CH,86.93983919,1.332927823,0.07496611,-3.318825245,5.422657967
40,R,CU,76.02445041,-1.417330265,-0.874340594,-3.173209429,5.742703438
577,R,FF,95.4025708,0.730188012,1.546737313,-3.37385869,5.445916176
