PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
534,R,SL,91.61001406,-0.411355942,0.465562284,-0.737621188,6.226724625
445,R,SI,94.34368698,0.78636378,0.699067593,-0.676744342,6.165576458
36,R,SI,95.21906544,0.871086538,0.578473449,-0.677424192,6.192073345
381,R,CU,81.70337841,-1.067660809,0.092663124,-0.670458376,6.154192448
463,R,CU,83.35072908,-1.422917247,0.190560207,-0.496522874,6.234152794
568,R,nan,nan,nan,nan,nan,nan
533,R,nan,nan,nan,nan,nan,nan
119,R,SL,88.8461314,-0.329448044,0.222816885,-0.667269886,6.271891594
170,R,SL,89.51681463,-0.416570276,0.307075471,-0.55785358,6.319926739
472,R,SL,92.37192192,-0.606788635,0.507213235,-0.666902065,6.276321888
23,R,SL,85.6536803,0.003019622,0.377169698,-0.706017435,6.116238594
518,R,nan,nan,nan,nan,nan,nan
531,R,CU,81.24942028,-1.5008111,-0.019852987,-0.681186616,6.152767658
8,R,CU,81.02413026,-0.963898301,-0.29134798,-0.651597977,6.197389603
160,R,CU,81.00668685,-0.940161765,-0.197598621,-0.904333472,6.184173107
510,R,SL,89.48381276,-0.559421122,0.432227075,-0.647879839,6.248970985
595,R,SL,89.62353829,-0.669441223,-0.07547693,-0.511739492,6.259775162
152,R,CU,85.89088367,-1.2529459,0.214696795,-0.541396856,6.157295227
232,R,SL,91.13646638,-0.481129557,0.182568431,-0.893361926,6.162979603
308,R,FF,96.85564718,-0.141982004,0.902473688,-0.631381094,6.188063622
85,R,SL,92.19569623,-0.495092481,0.193282172,-0.566270053,6.289078236
372,R,CU,83.15481939,-1.420228958,-0.032839358,-0.571425676,6.269949913
506,R,SI,95.05909194,0.616173089,0.965653837,-0.976868689,6.161945343
255,R,SL,88.34693615,-0.407510608,0.472509801,-0.75337857,6.20194912
441,R,SL,89.04357861,-0.328314722,0.215070263,-0.76253289,6.131130695
89,R,SL,89.59121232,-0.483648062,0.216232046,-0.819173813,6.159779549
41,R,SL,91.02415087,-0.506688297,0.249009922,-0.768165588,6.199007511
227,R,CU,83.49496905,-1.008873224,0.085188821,-0.771484435,6.176254749
603,R,SL,91.45790799,-0.57306385,0.286294788,-0.970230758,6.067824364
