PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
288,R,KC,86.80076891,-0.093700223,-0.613716543,-1.931797743,5.716026306
88,R,FF,96.231713,0.958480716,0.544377625,-1.997786641,5.433176041
517,R,KC,87.03933079,-0.490471482,-0.791788578,-1.750414968,5.777985096
546,R,KC,87.74837459,-0.525018215,-0.73192811,-1.818100214,5.796195984
193,R,CH,89.65200143,1.266859531,0.59208405,-1.89754343,5.660810947
420,R,KC,88.15665371,-0.2686055,-0.565786242,-1.795638561,5.750103474
218,R,KC,88.8695962,-0.427046657,-0.809024215,-1.761864066,5.738794804
51,R,KC,89.01853773,-0.437635362,-0.662855327,-1.717260003,5.725767136
351,R,FF,100.1030494,1.066474438,0.589884162,-1.874468803,5.507437706
316,R,KC,86.9937118,-0.420541167,-0.676568627,-1.70007205,5.740067005
33,R,CH,89.06155824,1.176962852,0.279182881,-1.731560469,5.59535408
195,R,KC,91.04418776,-0.384515524,-0.508302987,-1.855314016,5.679216862
449,R,FF,101.624039,0.973283708,0.403540343,-1.888403773,5.200703621
410,R,FF,99.69214522,0.8418172,0.637645841,-1.714175105,5.669586658
