PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
438,R,FC,92.51773838,-0.480419755,1.389795065,-1.532988071,6.558382988
67,R,SL,83.36676093,-0.32505995,-0.673422933,-1.793692112,6.466844082
99,R,SL,86.90357472,-0.51436162,-0.547537982,-1.522886634,6.484712601
609,R,SL,84.60295658,-0.460971326,-0.404081553,-1.649308085,6.459057808
236,R,FC,94.2586215,-0.434994668,1.48598969,-1.535634995,6.570753574
68,R,FC,95.73214895,-0.459929943,1.297638059,-1.399032831,6.546429157
