PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
326,R,FF,95.058707,0.622165561,1.249460816,-3.1778543,5.883117676
139,R,FF,93.82717354,0.764949262,1.268923402,-3.162280798,5.910263538
336,R,FF,93.46402433,0.802697718,1.195601225,-3.273528814,5.684536457
207,R,FC,93.04846527,0.143896475,0.818488479,-3.36743331,5.573437691
618,R,CH,87.52360621,0.994562387,0.153389633,-3.393021822,5.487762928
296,R,FF,93.44715468,0.45138213,1.08634913,-3.234731674,5.733869076
59,R,FF,95.25277521,0.437713951,1.221630812,-3.245632648,5.735371113
443,R,SL,88.08698421,-0.277147233,0.50633812,-3.574250221,5.500813484
376,R,FF,94.52348449,0.659570098,1.125190258,-3.380792379,5.600257874
282,R,CH,89.13403723,1.029248238,0.179416686,-3.34370327,5.55849123
161,R,FF,94.93641768,0.529697597,1.041849613,-3.252852917,5.73409605
397,R,CH,88.21184103,0.900267959,0.367173374,-3.367403746,5.58109808
223,R,FF,96.27174144,0.599215508,1.001438498,-3.408177137,5.561274529
392,R,FF,95.09732247,0.713184416,0.947358847,-3.315768003,5.629239559
100,R,FF,94.74023528,0.788854361,1.100373626,-3.307769537,5.774834633
280,R,CU,77.14960133,-1.112193942,-0.594522476,-3.320479631,5.76086092
206,R,SL,85.30830809,-0.347913772,0.612843156,-3.376285553,5.5402565
504,R,CU,78.61931774,-0.924206555,-0.567785382,-3.116046906,5.695101261
547,R,nan,nan,nan,nan,nan,nan
251,R,FF,94.58144205,0.8710621,0.875455022,-3.363344669,5.535624981
52,R,FF,96.22142669,0.607754171,1.085003734,-3.398356676,5.486323357
186,R,SL,86.35689902,-0.292369068,0.702953637,-3.440974236,5.310740948
306,R,CH,85.18562708,0.883954108,0.410470486,-3.338411808,5.49536562
482,R,FF,96.89070979,0.808615804,1.082681775,-3.327807188,5.573774338
505,R,FF,94.12897879,0.622102439,1.124008775,-3.267588377,5.660116196
338,R,FC,90.68122358,-0.12389119,0.76242429,-3.457624674,5.408377647
73,R,CH,88.59135445,0.971075833,0.436070383,-3.337832451,5.499710083
431,R,SL,88.00336163,-0.180274919,0.301303238,-3.494813204,5.343153954
276,R,SL,85.29584882,-0.096371748,0.365903765,-3.578139067,5.183765888
456,R,FF,96.10693654,0.720256209,0.880700827,-3.327464581,5.437912941
386,R,CU,80.87165436,-0.853289843,-0.498657554,-3.305785656,5.511449814
118,R,FF,96.33540522,0.437015444,0.977180064,-3.518674135,5.338256359
352,R,SL,88.168647,-0.209701777,0.237583369,-3.476899385,5.247857094
471,R,CU,77.09656611,-0.680335939,-0.549888611,-3.31076622,5.610989094
427,R,FC,90.41196145,-0.000479178,0.545204699,-3.529689312,5.408273697
194,R,FF,94.76060406,0.706916451,0.902385652,-3.330592394,5.486814499
363,R,FC,90.76963045,0.110700406,0.520452261,-3.504005432,5.343064785
180,R,FF,95.19041815,0.700722158,1.08603251,-3.178458691,5.652283669
600,R,CU,78.27024419,-0.88245976,-0.362263262,-3.228739262,5.569743156
374,R,FF,96.2207504,0.825704098,0.995595694,-3.319511652,5.515183449
78,R,SL,85.78697664,-0.122962415,0.324527293,-3.494454145,5.45705843
133,R,FF,92.09669372,0.861603856,1.10521841,-3.405962467,5.657691479
157,R,CH,83.32034561,0.962159991,0.227758184,-3.401077271,5.504565716
615,R,SL,84.98479775,-0.15046005,0.294017702,-3.36130023,5.646829128
