PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
141,R,SL,86.26858792,-0.45668593,0.046305843,-2.203952551,5.815381527
477,R,FF,94.73044276,0.552007973,1.397244811,-2.036269903,5.788518429
247,R,SL,86.78973273,-0.34610045,-0.071004249,-2.017505646,5.788114548
96,R,SL,86.85159616,-0.599955916,-0.072506994,-2.156972647,5.887176991
75,R,SL,87.13205682,-0.366451651,-0.031123325,-2.062115908,5.836709499
145,R,FF,98.33560189,0.41252768,1.364473701,-1.888304949,5.845404148
538,R,FF,96.33082722,0.568128586,1.425768971,-1.909443378,5.847720146
254,R,SL,85.57476032,-0.526228547,-0.063436382,-2.142331123,5.705394745
265,R,SL,87.44753727,-0.625883698,-0.12920326,-1.961431742,5.78437233
350,R,SL,84.92300453,-0.659295797,0.049986739,-1.92289567,5.717725754
448,R,SL,84.02586433,-0.836374104,0.061537746,-2.153040171,5.649783611
28,R,FF,96.1480379,0.677680969,1.51470387,-2.058444738,5.796786308
476,R,FF,94.66933019,0.657779157,1.584085822,-2.080036163,5.81226778
220,R,SL,87.71127753,-0.463261873,-0.092362136,-2.162948847,5.650238991
571,R,FF,96.52810322,0.579872191,1.35485673,-1.890591383,5.918309212
409,R,FF,97.15089117,0.492388606,1.418338418,-1.759884477,5.841984272
11,R,SL,86.63593726,-0.51592654,-0.114732094,-1.891891718,5.810721874
468,R,FF,94.54859689,0.328815162,1.436682582,-2.064088345,5.809481144
369,R,SL,87.34432391,-0.07610672,-0.22212483,-2.117865324,5.780941963
494,R,SL,88.42383643,-0.602661431,0.049004093,-1.958979726,5.726889133
298,R,SL,88.99036104,-0.164665297,-0.346088558,-1.983771205,5.789446354
433,R,FF,97.79121721,0.551487863,1.428253293,-1.945214033,5.907877922
