PitchId,GamePk,PitcherHand,PitchCall,PitchType,BatterId,PitcherId,BatterSide,Inning,IsTop,Balls,Strikes,Outs,PostBalls,PostStrikes,PostOuts,PitchNumber,AtBatNumber,AwayTeamID,VenueID,HomeTeamID,StrikeZoneTop,StrikeZoneBottom,ReleaseExtension,ReleaseAngle,ReleaseSpinAxis,ReleasePositionX,ReleasePositionY,ReleasePositionZ,ReleaseSpeed,ReleaseDirection,ReleaseSpinRate,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,TrajectoryZoneSpeed,TrajectoryVerticalApproachAngle,TrajectoryPfxHorz,TrajectoryPfxVert,TrajectoryEffectiveVelocity,TrajectoryHorizontalApproachAngle,TrajectoryVerticalBreak,TrajectoryLocationX,TrajectoryLocationY,TrajectoryLocationZ,SpinVectorX,SpinVectorY,SpinVectorZ,SpinFitError,TrajectoryZoneTime,TrajectoryPolynomialX0,TrajectoryPolynomialX1,TrajectoryPolynomialX2,TrajectoryPolynomialY0,TrajectoryPolynomialY1,TrajectoryPolynomialY2,TrajectoryPolynomialZ0,TrajectoryPolynomialZ1,TrajectoryPolynomialZ2,TrajectoryX0,TrajectoryX1,TrajectoryX2,TrajectoryV0,TrajectoryV1,TrajectoryV2,TrajectoryA0,TrajectoryA1,TrajectoryA2
278,2,R,ball,FF,19,7,R,1,1,0,0,0,1,0,0,1,1,1,2,1,3.230000019,1.5,6.505908966,-3.498229742,193.0052795,-0.436012954,53.99409103,5.668459892,95.82955881,-1.206437707,2553.112061,0.128529727,1.339145184,85.72026825,-6.380988598,-0.097273476,0.812302947,93.6876297,-0.914262712,-1.278117299,0.542743742,1.416666627,1.176107407,-1830.163452,-1729.220581,-422.7039795,0.238841236,0.403353453,-0.4389503,2.874027967,-1.091343999,54.13360977,-136.4723206,14.31033039,5.676999092,-8.344621658,-6.976652145,-0.352728784,50.00485611,5.417313099,2.807705402,-135.6026459,-8.768604279,-2.182687998,28.62066078,-13.95330429
256,2,R,field_out,FF,19,7,R,1,1,1,0,0,1,0,1,2,1,1,2,1,3.289999962,1.49000001,6.415337086,-2.913981915,200.1224365,-0.409550548,54.08466339,5.741928101,96.01395334,-0.895395398,2544.785889,0.266539454,1.405084014,85.62705231,-5.63700676,-0.166746691,0.837542951,93.70083618,-0.288466573,-1.202927709,0.147054926,1.416666627,1.858059287,-1794.536133,-1680.257202,-657.5036621,0.199136615,0.402639985,-0.41033262,2.139437437,-1.875385404,54.13471985,-136.8900909,14.79342842,5.744477272,-6.968895435,-6.664625168,-0.347229451,50.00053024,5.527201176,2.025774479,-135.9934998,-7.372823715,-3.750770807,29.58685684,-13.32925034
261,2,R,ball,FF,24,7,L,1,1,0,0,1,1,0,1,1,2,1,2,1,3.339999914,1.450000048,6.567461491,-2.795450926,201.3465118,-0.394623399,53.93254089,5.659292698,95.90047306,-2.08525157,2494.013672,0.552685738,1.500853896,85.82026672,-5.238336086,-0.354682267,0.894138217,94.5267334,-0.823453605,-1.075917244,0.964810193,1.416666627,2.019150019,-1865.972168,-1485.407593,-729.2576294,0.249742553,0.400221169,-0.401964664,5.028721333,-4.031951427,54.1343689,-138.1115417,15.96698093,5.669168472,-6.748258114,-5.926087379,-0.254731774,50.00539017,5.461387157,4.786487103,-137.1522675,-7.104289532,-8.063902855,31.93396187,-11.85217476
301,2,R,ball,FF,24,7,L,1,1,1,0,1,2,0,1,2,2,1,2,1,3.430000067,1.539999962,6.379841805,-0.781177819,205.3499603,-0.54898113,54.12015915,5.682226658,94.48461487,-0.520036995,2497.874512,0.411709458,1.484798312,84.60249329,-3.409583569,-0.238987908,0.834963739,93.12717438,0.420778781,-1.152006388,-0.482315272,1.416666627,3.811600447,-1755.759033,-1569.957642,-831.817627,0.22620371,0.404856503,-0.549110234,1.239613295,-2.654345512,54.13438797,-136.5723267,15.69920349,5.682420731,-1.862236261,-6.814046383,-0.513932943,50.00387955,5.619625568,1.078342676,-135.6184845,-2.27623868,-5.308691025,31.39840698,-13.62809277
593,2,R,foul,FF,24,7,L,1,1,2,0,1,2,1,1,3,2,1,2,1,3.549999952,1.629999995,6.469217777,-1.707994819,202.2545929,-0.437322348,54.03078461,5.71382761,92.30566164,-0.855430603,2453.709473,0.34568879,1.499463797,84.74638367,-4.285147667,-0.211302802,0.866830647,93.40013123,-0.065022647,-1.130503416,0.002562845,1.416666627,3.014467001,-1764.39624,-1544.769897,-721.9989014,0.17167972,0.404331237,-0.438877255,2.042894363,-2.352318764,54.13500214,-136.8206024,15.91967583,5.716939449,-4.080303669,-6.43903923,-0.379137188,50.00395584,5.587394714,1.900206804,-135.8549347,-4.470884323,-4.704637527,31.83935165,-12.87807846
321,2,R,ball,CU,24,7,L,1,1,2,1,1,3,1,1,4,2,1,2,1,3.359999895,1.440000057,6.168703079,2.702253103,30.30891228,-0.551065028,54.33129883,5.651389122,79.73083699,1.265396476,2596.235596,-1.036712646,-1.002845049,71.12451935,-8.197733879,0.601710975,-0.619605899,77.40652466,-1.105968595,-4.790476799,-0.683183074,1.416666627,3.358430624,2018.895386,-1127.697754,1180.168579,0.114913948,0.485228151,-0.55542773,-2.519465685,4.649723053,54.13438416,-114.0601273,11.15916729,5.660746098,5.384747505,-20.87586403,-0.640866578,50.00304413,5.828897953,-2.181180954,-113.2482529,3.865950108,9.299446106,22.31833458,-41.75172806
500,2,R,field_out,FF,24,7,L,1,1,3,1,1,3,1,2,5,2,1,2,1,3.549999952,1.629999995,6.401722431,-1.412592769,198.9754639,-0.479524285,54.09827805,5.616623878,94.65976311,-1.637997746,2404.279297,0.170258254,1.424956799,84.6156311,-4.225708008,-0.13015455,0.813483238,92.66230774,-1.250915527,-1.240382791,0.856733322,1.416666627,3.07712841,-1451.742065,-1850.357544,-499.1798096,0.183157176,0.407041252,-0.480523705,3.86871767,-1.433286548,54.13323212,-135.2876129,14.18990612,5.617486477,-3.337474108,-7.133329868,-0.363483012,50.00671768,5.508680344,3.780857325,-134.4177704,-3.774746656,-2.866573095,28.37981224,-14.26665974
574,2,R,ball,FC,21,7,R,1,1,0,0,2,1,0,2,1,3,1,2,1,3.339999914,1.629999995,6.392545223,-1.609725118,59.14722824,-0.611507297,54.10745621,5.622745037,88.92663066,-1.013279915,2696.713379,-0.339924753,-0.231810123,79.37902832,-9.104650497,0.164602816,-0.092666142,85.81404114,-1.784259319,-3.338541508,0.660362959,1.416666627,0.803453803,434.3548279,-2560.254883,727.1135254,0.113724396,0.439454556,-0.611969531,2.21123147,1.556525469,54.13358307,-125.0207672,11.5153265,5.623479843,-3.513932705,-16.9625473,-0.536956668,50.00180054,5.488352776,2.314474106,-124.2569656,-4.639040947,3.113050938,23.030653,-33.9250946
396,2,R,ball,FC,21,7,R,1,1,1,0,2,2,0,2,2,3,1,2,1,3.289999962,1.570000052,6.349709034,-1.434695482,88.25085449,-0.573119342,54.15029144,5.608247757,87.32074007,-1.630475998,2527.975098,-0.387580693,-0.045390673,79.34143829,-8.493689537,0.176188663,0.007424652,85.97341156,-2.5105865,-3.135841608,1.315509677,1.416666627,1.151677847,21.46394348,-2428.20459,702.8654175,0.168619335,0.438301593,-0.572655559,3.574384451,1.673570991,54.13399887,-125.5718384,12.08226395,5.607839584,-3.146270037,-16.01777267,-0.452878356,50.00328445,5.486569405,3.684928417,-124.7737732,-4.204286575,3.347141981,24.16452789,-32.03554535
291,2,R,foul_tip,SI,21,7,R,1,1,2,0,2,2,1,2,3,3,1,2,1,3.470000029,1.590000033,6.523098469,-2.236226797,200.6246948,-0.596380472,53.97690201,5.585100651,95.39233598,-1.273336291,2357.534424,1.184283614,0.77311331,85.30194092,-6.459733486,-0.677943528,0.474255681,93.27403259,1.420633197,-1.869006038,-0.61231631,1.416666627,1.663576603,-1507.970093,-1721.011475,-567.5507202,0.446620584,0.405264288,-0.599841833,3.020478725,-7.529061317,54.13305664,-135.8888397,14.32649708,5.591214657,-5.307681561,-10.8173008,-0.514721155,50.00177383,5.419267654,2.561007977,-135.0145416,-5.967821121,-15.05812263,28.65299416,-21.63460159
